X,Y,fid,Num_Acc,mois,lum,agg,int,atm,col,adr,dep,date,date_forma,heures_min,ANNEE,SEMAINE,LIBELLE_JO,HEURE,LIBELLE_PL,original_c,original_n,current_ci,current_na,nom_circon,latitude,geo_type,longitude,geo_score,geo_source,num_route_,num_rout_1,distance,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,NOM_REG,voiture_nb,has_voitur,deuxrouesm,has_deuxro,velo_nb,has_velo,poidslourd,has_poidsl,vehiculeau,has_vehicu,pietons_nb,has_pieton,indemne_nb,blesselege,hospitalis,tue_nb,gravite_ac,geo_sour_1,PR_display,icon_url
-0.125635,49.2856289999873,1,200500050844,"8",plein jour,en agglom̩ration,intersection en T,temps couvert,autre collision,TULIPES (  AVENUE DES),"14",2005-08-01T09:45:00.000Z,2005/08/01,09:45:00,"2005","31",Lundi,"9",09 - 10 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.285629",street,"-0.125635","0.77999997",ban + citycode,Avenue des Tulipes,Avenue des Tulipes14117,"3.525012425",voie communale,"0","0",,chauss̩es s̩par̩es,"2","10","0",,plat,rectiligne,"40","120",surface normale,,chauss̩e,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"2",true,"1","0","2","0",hospitalis̩,g̩ocodage BAN,"10.0",./0.png
-0.112253,49.2939639999873,4,200800038742,"7",plein jour,en agglom̩ration,hors intersection,m̩t̩o normale,autre collision,"1, PLATANES (AVENUE DES)","14",2008-07-01T13:15:00.000Z,2008/07/01,13:15:00,"2008","27",Mardi,"13",13 - 14 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.293964",housenumber,"-0.112253","0.88",ban + citycode,Avenue des Platanes,Avenue des Platanes14117,"3.472323133",voie communale,"0","0",,bidirectionnel,"1",,,,plat,rectiligne,"0","60",surface normale,,chauss̩e,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"1",true,"1","0","1","0",hospitalis̩,g̩ocodage BAN,,./0.png
-0.116107,49.2900509999873,5,200500044043,"7",plein jour,en agglom̩ration,hors intersection,m̩t̩o normale,autre collision,"45, MER (AVENUE DE LA)","14",2005-07-15T21:35:00.000Z,2005/07/15,21:35:01,"2005","28",Vendredi,"21",21 - 22 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.290051",housenumber,"-0.116107","0.88",ban + citycode,Avenue de la Mer,Avenue de la Mer14117,"6.317753623",voie communale,"0","0",,sens unique,"1",,,,plat,rectiligne,"0","34",surface normale,,chauss̩e,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"1",true,"1","0","1","0",hospitalis̩,g̩ocodage BAN,,./0.png
-0.13168,49.2818999999872,6,201100022073,"6",plein jour,en agglom̩ration,hors intersection,m̩t̩o normale,autre collision,"1, REINE MATHILDE (AVENU","14",2011-06-17T16:50:00.000Z,2011/06/17,16:50:00,"2011","24",Vendredi,"16",16 - 17 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.2819",unknown,"-0.13168",,baac,Avenue de la Reine Mathilde,Avenue de la Reine Mathilde14117,"8.673442711",voie communale,,,,bidirectionnel,"2",,,,plat,rectiligne,"0","60",surface normale,,chauss̩e,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"1",true,"1","0","1","0",hospitalis̩,coordonn̩es GPS BAAC,,./0.png
-0.12226,49.2916679999873,8,201500016476,"11",plein jour,en agglom̩ration,hors intersection,m̩t̩o normale,autre collision,"30, ARISITIDE BRIAND (AV","14",2015-11-22T10:05:00.000Z,2015/11/22,10:05:00,"2015","47",Dimanche,"10",10 - 11 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.291668",housenumber,"-0.12226","0.62",ban + citycode,Avenue Aristide Briand,Avenue Aristide Briand14117,"4.18841616",voie communale,,,,sens unique,"1",,,,plat,rectiligne,"0","85",surface normale,,chauss̩e,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"1",true,"1","0","1","0",hospitalis̩,g̩ocodage BAN,,./0.png
-0.120348,49.2927209999873,9,201500016470,"8",plein jour,en agglom̩ration,hors intersection,m̩t̩o normale,autre collision,MARECHAL FOCH (AVENUE DU,"14",2015-08-01T16:21:00.000Z,2015/08/01,16:21:00,"2015","31",Samedi,"16",16 - 17 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.292721",street,"-0.120348","0.76999998",ban + citycode,Avenue du Mar̩chal Foch,Avenue du Mar̩chal Foch14117,"0.951559727",voie communale,"0",,,,"1","1","0",,,,"0","0",,,,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"1",true,"1","0","1","0",hospitalis̩,g̩ocodage BAN,"1.0",./0.png
-0.136599529092466,49.2831238801512,10,201200017373,"11",nuit avec ̩clairage public allum̩,en agglom̩ration,giratoire,m̩t̩o normale,autre collision,"1, GUILLAUME LE CONQUERA","14",2012-11-08T18:30:00.000Z,2012/11/08,18:30:00,"2012","45",Jeudi,"18",18 - 19 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.280979",street,"-0.139677","0.64999998",ban + citycode,"5808571","580857114117","21.860887711",route d̩partementale,"0",,,bidirectionnel,"1",,,,plat,rectiligne,"0","0",surface normale,carrefour am̩nag̩,chauss̩e,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"1",true,"1","0","1","0",hospitalis̩,g̩ocodage BAN,,./0.png
-0.115535,49.2895389999873,11,200500050847,"8",plein jour,en agglom̩ration,intersection en X,m̩t̩o normale,autre collision,BAVENT (AVENUE DE),"14",2005-08-16T10:30:00.000Z,2005/08/16,10:30:00,"2005","33",Mardi,"10",10 - 11 h,"14117",Cabourg,"14117",Cabourg,DIVES-SUR-MER,"49.289539",street,"-0.115535","0.75999999",ban + citycode,Avenue de Bavent,Avenue de Bavent14117,"0.395300121",voie communale,"0","0",,bidirectionnel,"2",,,,plat,rectiligne,"0","0",surface normale,,chauss̩e,,Normandie,"1",true,"0",false,"0",false,"0",false,"0",false,"1",true,"1","0","1","0",hospitalis̩,g̩ocodage BAN,,./0.png
