X,Y,geo_croix,annee,object_rid,creat_date,update_dat,lot,icon_url
-0.043362783107865,49.232070390991,"1","2020",Objet_1005158,2018/02/13,2018/02/13,NCPA,
-0.043362783107865,49.232070390991,"1","2020",Objet_1005158,2018/02/13,2018/02/13,NCPA,
