X,Y,ogc_fid,object_rid,fon,hei,tyu,cef,csp,di1,di2,di3,di4,tpa,hta,vta,atr,ogr_obj_lnk,ogr_obj_lnk_layer,ogr_atr_val,ogr_angle,ogr_font_size,x_label,y_label,icon_url
-0.190253164297781,49.2618836947307,"148",Attribut_TEX_id_Objet_347092,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.662620000000000,0.748956000000000,0.748956000000000,0.662620000000000,"1","1","1",TEX_id,Objet_347092,TRONFLUV_id,Douet de la Lande,41.4999873306301,6,467803.46,6911605.69,
-0.18874611290129,49.2593189140075,"157",Attribut_TEX_id_Objet_347094,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.547563000000000,0.836764000000000,0.836764000000000,0.547563000000000,"1","1","1",TEX_id,Objet_347094,TRONFLUV_id,Douet des Grichauts  (Ruisseau),33.1999991192495,6,467901.57,6911316.19,
-0.191375481608888,49.2607693130654,"165",Attribut_TEX_id_Objet_347096,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.806960000000000,0.590606000000000,0.590606000000000,0.806960000000000,"1","1","1",TEX_id,Objet_347096,TRONFLUV_id,(Ruisseau),53.7999740695658,6,467716.81,6911485.13,
-0.188379119885375,49.2632188450762,"195",Attribut_TEX_id_Objet_347093,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.582123000000000,0.813101000000000,0.813101000000000,0.582123000000000,"1","1","1",TEX_id,Objet_347093,TRONFLUV_id,(Ruisseau),35.5999934204472,6,467945.78,6911748.58,
-0.159852968929617,49.2385850474503,"783",Attribut_TEX_id_Objet_333390,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.980955000000000,0.194234000000000,0.194234000000000,0.980955000000000,"1","1","1",TEX_id,Objet_333390,TRONFLUV_id,La Divette (Rivière),78.8000180113272,6,469911.21,6908927.12,
-0.044063804629847,49.231603393484,"2159",Attribut_TEX_id_Objet_940784,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.322266000000000,0.946649000000000,0.946649000000000,0.322266000000000,"1","1","1",TEX_id,Objet_940784,TRONFLUV_id,Ruisseau de Dozulé,18.8000213332947,6,478308.36,6907819.87,
-0.156639904890404,49.2588477153139,"2552",Attribut_TEX_id_Objet_443210,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.886204000000000,0.463296000000000,0.463296000000000,0.886204000000000,"1","1","1",TEX_id,Objet_443210,TRONFLUV_id,La,62.4000129525003,6,470235.13,6911169.92,
-0.155819144415436,49.2638651674943,"2553",Attribut_TEX2_id_Objet_443210,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.705872000000000,0.708340000000000,0.708340000000000,0.705872000000000,"1","1","1",TEX2_id,Objet_443210,TRONFLUV_id,Divette,44.9000108609692,6,470317.14,6911725.22,
-0.14750290325694,49.2671178552693,"2554",Attribut_TEX3_id_Objet_443210,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,0.047106000000000,0.998890000000000,0.998890000000000,-0.047106000000000,"1","1","1",TEX3_id,Objet_443210,TRONFLUV_id,(Rivière),357.300026132568,6,470936.5,6912062.6,
-0.022047955132615,49.2946034256143,"2919",Attribut_TEX_id_Objet_292187,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,0.236838000000000,0.971549000000000,0.971549000000000,-0.236838000000000,"1","1","1",TEX_id,Objet_292187,TRONFLUV_id,la,346.300006502493,6,480179.08,6914761.19,
-0.019410007832123,49.2945262446318,"2920",Attribut_TEX2_id_Objet_292187,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.228351000000000,0.973579000000000,0.973579000000000,0.228351000000000,"1","1","1",TEX2_id,Objet_292187,TRONFLUV_id,Fontaine,13.2000059747187,6,480370.54,6914745.27,
-0.018067150561317,49.2945801686405,"2921",Attribut_TEX3_id_Objet_292187,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,0.268920000000000,0.963163000000000,0.963163000000000,-0.268920000000000,"1","1","1",TEX3_id,Objet_292187,TRONFLUV_id,Bougon,344.399996775397,6,480468.4,6914747.53,
-0.027046508788686,49.2928283625738,"2937",Attribut_TEX_id_Objet_292185,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,0.653421000000000,0.756995000000000,0.756995000000000,-0.653421000000000,"1","1","1",TEX_id,Objet_292185,TRONFLUV_id,Ruisseau,319.199980740513,6,479808.1,6914577.8,
-0.021181315615286,49.2905406767579,"2939",Attribut_TEX_id_Objet_292184,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,0.304033000000000,0.952661000000000,0.952661000000000,-0.304033000000000,"1","1","1",TEX_id,Objet_292184,TRONFLUV_id,de,342.299994942176,6,480224.8,6914307.16,
-0.019649476856445,49.2902916895565,"2940",Attribut_TEX2_id_Objet_292184,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,0.432086000000000,0.901833000000000,0.901833000000000,-0.432086000000000,"1","1","1",TEX2_id,Objet_292184,TRONFLUV_id,Ricqueville,334.39999874494,6,480335.12,6914275.22,
-0.026928550223388,49.2945814044197,"2952",Attribut_TEX_id_Objet_292186,Times New Roman,3.000000000000000,"1",1.000000000000000,0.300000000000000,-0.506034000000000,0.862514000000000,0.862514000000000,0.506034000000000,"1","1","1",TEX_id,Objet_292186,TRONFLUV_id,Ruisseau,30.4000020658801,6,479824.15,6914772.34,
