X,Y,geo_borne,annee,object_rid,creat_date,update_dat,lot,icon_url
-0.119870643583458,49.2369782651706,"6387","2020",Objet_376848,2003/02/10,2014/03/03,NCPA,
-0.120022205582569,49.2368259822028,"6388","2020",Objet_376867,2003/02/10,2014/03/03,NCPA,
-0.120284812989163,49.2366172923448,"6389","2020",Objet_376868,2003/02/10,2014/03/03,NCPA,
-0.120539745441286,49.2363406936039,"6390","2020",Objet_376869,2003/02/10,2014/03/03,NCPA,
-0.120559215602335,49.2362444619152,"6391","2020",Objet_376870,2003/02/10,2014/03/03,NCPA,
-0.116596678317558,49.2378273473743,"6392","2020",Objet_376840,2003/02/10,2014/03/03,NCPA,
-0.117682482773453,49.2366282253411,"6393","2020",Objet_376841,2003/02/10,2014/03/03,NCPA,
-0.117445202617607,49.2365371960338,"6394","2020",Objet_376843,2003/02/10,2014/03/03,NCPA,
-0.117384867004879,49.2365277803699,"6395","2020",Objet_376845,2003/02/10,2014/03/03,NCPA,
-0.117412594242825,49.2364840578428,"6396","2020",Objet_376846,2003/02/10,2014/03/03,NCPA,
-0.117357947268142,49.2366350003668,"6397","2020",Objet_376847,2003/02/10,2014/03/03,NCPA,
-0.119683634196924,49.2371670033373,"6398","2020",Objet_376850,2003/02/10,2014/03/03,NCPA,
-0.11944879253561,49.2373076759133,"6399","2020",Objet_376851,2003/02/10,2014/03/03,NCPA,
-0.119210014276422,49.2373968074419,"6400","2020",Objet_376852,2003/02/10,2014/03/03,NCPA,
-0.118943303141114,49.2374807233273,"6401","2020",Objet_376853,2003/02/10,2014/03/03,NCPA,
-0.116897210700429,49.2364748049838,"6402","2020",Objet_376865,2003/02/10,2014/03/03,NCPA,
-0.11735835036902,49.2364662973896,"6403","2020",Objet_376866,2003/02/10,2014/03/03,NCPA,
-0.115943611558459,49.2375310497238,"6404","2020",Objet_376855,2003/02/10,2014/03/03,NCPA,
-0.115456786324722,49.2373620765827,"6405","2020",Objet_376857,2003/02/10,2014/03/03,NCPA,
-0.115147598482172,49.237233764931,"6406","2020",Objet_376858,2003/02/10,2014/03/03,NCPA,
-0.112385115240093,49.2375152103468,"6407","2020",Objet_376859,2003/02/10,2014/03/03,NCPA,
-0.113620453257432,49.2368558591084,"6408","2020",Objet_376861,2003/02/10,2014/03/03,NCPA,
-0.113782443869354,49.2367349841735,"6409","2020",Objet_376862,2003/02/10,2014/03/03,NCPA,
-0.116318200711412,49.2381992829268,"6410","2020",Objet_376836,2003/02/10,2014/03/03,NCPA,
-0.116584970735299,49.2380569815915,"6411","2020",Objet_376837,2003/02/10,2014/03/03,NCPA,
-0.116828666260106,49.2379626900824,"6412","2020",Objet_376838,2003/02/10,2014/03/03,NCPA,
-0.113709862694909,49.2395803310695,"6413","2020",Objet_376821,2003/02/10,2014/03/03,NCPA,
-0.114964197370439,49.2392401374773,"6414","2020",Objet_376822,2003/02/10,2014/03/03,NCPA,
-0.115302959592192,49.2391203604137,"6415","2020",Objet_376824,2003/02/10,2014/03/03,NCPA,
-0.115595102644562,49.2389543737121,"6416","2020",Objet_376825,2003/02/10,2014/03/03,NCPA,
-0.115724740159813,49.2388210173445,"6417","2020",Objet_376827,2003/02/10,2014/03/03,NCPA,
-0.115880322803057,49.2386029589458,"6418","2020",Objet_376828,2003/02/10,2014/03/03,NCPA,
-0.113436108689298,49.238197561993,"6419","2020",Objet_376833,2003/02/10,2014/03/03,NCPA,
-0.116025361214009,49.2384356455437,"6420","2020",Objet_376835,2003/02/10,2014/03/03,NCPA,
-0.111150566999973,49.2395621171429,"6421","2020",Objet_376817,2003/02/10,2014/03/03,NCPA,
-0.11218005731217,49.2390565455731,"6422","2020",Objet_376829,2003/02/10,2014/03/03,NCPA,
-0.111174781685515,49.2382959900795,"6423","2020",Objet_376831,2003/02/10,2014/03/03,NCPA,
-0.112780066266184,49.2399547755321,"6424","2020",Objet_376816,2003/02/10,2014/03/03,NCPA,
-0.113264310877005,49.23972715336,"6425","2020",Objet_376819,2003/02/10,2014/03/03,NCPA,
-0.112107466617725,49.2404681414602,"6426","2020",Objet_376812,2003/02/10,2014/03/03,NCPA,
